Time resolution is 1 ps
UVM_INFO C:/Xilinx/Vivado/2024.2/data/system_verilog/uvm_1.2/xlnx_uvm_package.sv(18601) @ 0: reporter [UVM/RELNOTES] 
----------------------------------------------------------------
UVM-1.2
(C) 2007-2014 Mentor Graphics Corporation
(C) 2007-2014 Cadence Design Systems, Inc.
(C) 2006-2014 Synopsys, Inc.
(C) 2011-2013 Cypress Semiconductor Corp.
(C) 2013-2014 NVIDIA Corporation
----------------------------------------------------------------

  ***********       IMPORTANT RELEASE NOTES         ************

  You are using a version of the UVM library that has been compiled
  with `UVM_NO_DEPRECATED undefined.

  You are using a version of the UVM library that has been compiled
  with `UVM_OBJECT_DO_NOT_NEED_CONSTRUCTOR undefined.

      (Specify +UVM_NO_RELNOTES to turn off this notice)

UVM_WARNING @ 0: reporter [TPRGED] Type name 'fifo_base_test' already registered with factory. No string-based lookup support for multiple types with the same type name.
UVM_WARNING @ 0: reporter [TPRGED] Type name 'fifo_sequence' already registered with factory. No string-based lookup support for multiple types with the same type name.
UVM_INFO @ 0: reporter [RNTST] Running test fifo_random_test...
Time=1935000 rst_n=1 wr_en=0 rd_en=0 wr_data=e027862c rd_data=d7dd8e1f full=0 empty=0
Time=1955000 rst_n=1 wr_en=1 rd_en=0 wr_data=c8535b2a rd_data=d7dd8e1f full=0 empty=0
Time=1965000 rst_n=1 wr_en=0 rd_en=0 wr_data=c8535b2a rd_data=d7dd8e1f full=0 empty=0
Time=1985000 rst_n=1 wr_en=0 rd_en=1 wr_data=c8535b2a rd_data=d7dd8e1f full=0 empty=0
Time=1995000 rst_n=1 wr_en=0 rd_en=0 wr_data=c8535b2a rd_data=2ea638dd full=0 empty=0
Time=2015000 rst_n=1 wr_en=0 rd_en=1 wr_data=c8535b2a rd_data=2ea638dd full=0 empty=0
Time=2025000 rst_n=1 wr_en=0 rd_en=0 wr_data=c8535b2a rd_data=306ee8c2 full=0 empty=0
Time=2045000 rst_n=1 wr_en=1 rd_en=0 wr_data=aaf28743 rd_data=306ee8c2 full=0 empty=0
Time=2055000 rst_n=1 wr_en=0 rd_en=0 wr_data=aaf28743 rd_data=306ee8c2 full=0 empty=0
Time=2075000 rst_n=1 wr_en=0 rd_en=1 wr_data=aaf28743 rd_data=306ee8c2 full=0 empty=0
Time=2085000 rst_n=1 wr_en=0 rd_en=0 wr_data=aaf28743 rd_data=126c9cf7 full=0 empty=0
Time=2105000 rst_n=1 wr_en=1 rd_en=0 wr_data=1a73b4fb rd_data=126c9cf7 full=0 empty=0
Time=2115000 rst_n=1 wr_en=0 rd_en=0 wr_data=1a73b4fb rd_data=126c9cf7 full=0 empty=0
Time=2135000 rst_n=1 wr_en=0 rd_en=1 wr_data=1a73b4fb rd_data=126c9cf7 full=0 empty=0
Time=2145000 rst_n=1 wr_en=0 rd_en=0 wr_data=1a73b4fb rd_data=cb75dbff full=0 empty=0
Time=2165000 rst_n=1 wr_en=0 rd_en=1 wr_data=1a73b4fb rd_data=cb75dbff full=0 empty=0
Time=2175000 rst_n=1 wr_en=0 rd_en=0 wr_data=1a73b4fb rd_data=228166d9 full=0 empty=0
Time=2195000 rst_n=1 wr_en=1 rd_en=0 wr_data=c658125a rd_data=228166d9 full=0 empty=0
Time=2205000 rst_n=1 wr_en=0 rd_en=0 wr_data=c658125a rd_data=228166d9 full=0 empty=0
Time=2225000 rst_n=1 wr_en=0 rd_en=1 wr_data=c658125a rd_data=228166d9 full=0 empty=0
Time=2235000 rst_n=1 wr_en=0 rd_en=0 wr_data=c658125a rd_data=e0918e9a full=0 empty=0
Time=2255000 rst_n=1 wr_en=0 rd_en=1 wr_data=c658125a rd_data=e0918e9a full=0 empty=0
Time=2265000 rst_n=1 wr_en=0 rd_en=0 wr_data=c658125a rd_data=4ddb2da full=0 empty=0
Time=2285000 rst_n=1 wr_en=1 rd_en=0 wr_data=d165f362 rd_data=4ddb2da full=0 empty=0
Time=2295000 rst_n=1 wr_en=0 rd_en=0 wr_data=d165f362 rd_data=4ddb2da full=0 empty=0
Time=2315000 rst_n=1 wr_en=0 rd_en=1 wr_data=d165f362 rd_data=4ddb2da full=0 empty=0
Time=2325000 rst_n=1 wr_en=0 rd_en=0 wr_data=d165f362 rd_data=e027862c full=0 empty=0
Time=2345000 rst_n=1 wr_en=1 rd_en=0 wr_data=f130ef30 rd_data=e027862c full=0 empty=0
Time=2355000 rst_n=1 wr_en=0 rd_en=0 wr_data=f130ef30 rd_data=e027862c full=0 empty=0
Time=2375000 rst_n=1 wr_en=1 rd_en=0 wr_data=bb9d586d rd_data=e027862c full=0 empty=0
Time=2385000 rst_n=1 wr_en=0 rd_en=0 wr_data=bb9d586d rd_data=e027862c full=0 empty=0
Time=2405000 rst_n=1 wr_en=1 rd_en=0 wr_data=ed0e5eaa rd_data=e027862c full=0 empty=0
Time=2415000 rst_n=1 wr_en=0 rd_en=0 wr_data=ed0e5eaa rd_data=e027862c full=0 empty=0
Time=2435000 rst_n=1 wr_en=1 rd_en=0 wr_data=584017f rd_data=e027862c full=0 empty=0
Time=2445000 rst_n=1 wr_en=0 rd_en=0 wr_data=584017f rd_data=e027862c full=0 empty=0
Time=2465000 rst_n=1 wr_en=1 rd_en=0 wr_data=4fe416c rd_data=e027862c full=0 empty=0
Time=2475000 rst_n=1 wr_en=0 rd_en=0 wr_data=4fe416c rd_data=e027862c full=0 empty=0
Time=2495000 rst_n=1 wr_en=0 rd_en=1 wr_data=4fe416c rd_data=e027862c full=0 empty=0
Time=2505000 rst_n=1 wr_en=0 rd_en=0 wr_data=4fe416c rd_data=c8535b2a full=0 empty=0
Time=2525000 rst_n=1 wr_en=0 rd_en=1 wr_data=4fe416c rd_data=c8535b2a full=0 empty=0
Time=2535000 rst_n=1 wr_en=0 rd_en=0 wr_data=4fe416c rd_data=aaf28743 full=0 empty=0
Time=2555000 rst_n=1 wr_en=0 rd_en=1 wr_data=4fe416c rd_data=aaf28743 full=0 empty=0
Time=2565000 rst_n=1 wr_en=0 rd_en=0 wr_data=4fe416c rd_data=1a73b4fb full=0 empty=0
Time=2585000 rst_n=1 wr_en=1 rd_en=0 wr_data=915617d rd_data=1a73b4fb full=0 empty=0
Time=2595000 rst_n=1 wr_en=0 rd_en=0 wr_data=915617d rd_data=1a73b4fb full=0 empty=0
Time=2615000 rst_n=1 wr_en=1 rd_en=0 wr_data=cba6b1c7 rd_data=1a73b4fb full=0 empty=0
Time=2625000 rst_n=1 wr_en=0 rd_en=0 wr_data=cba6b1c7 rd_data=1a73b4fb full=0 empty=0
Time=2645000 rst_n=1 wr_en=1 rd_en=0 wr_data=f53c9ee3 rd_data=1a73b4fb full=0 empty=0
Time=2655000 rst_n=1 wr_en=0 rd_en=0 wr_data=f53c9ee3 rd_data=1a73b4fb full=0 empty=0
Time=2675000 rst_n=1 wr_en=0 rd_en=1 wr_data=f53c9ee3 rd_data=1a73b4fb full=0 empty=0
Time=2685000 rst_n=1 wr_en=0 rd_en=0 wr_data=f53c9ee3 rd_data=c658125a full=0 empty=0
Time=2705000 rst_n=1 wr_en=1 rd_en=0 wr_data=bd764fbf rd_data=c658125a full=0 empty=0
Time=2715000 rst_n=1 wr_en=0 rd_en=0 wr_data=bd764fbf rd_data=c658125a full=0 empty=0
Time=2735000 rst_n=1 wr_en=0 rd_en=1 wr_data=bd764fbf rd_data=c658125a full=0 empty=0
Time=2745000 rst_n=1 wr_en=0 rd_en=0 wr_data=bd764fbf rd_data=d165f362 full=0 empty=0
Time=2765000 rst_n=1 wr_en=0 rd_en=1 wr_data=bd764fbf rd_data=d165f362 full=0 empty=0
Time=2775000 rst_n=1 wr_en=0 rd_en=0 wr_data=bd764fbf rd_data=f130ef30 full=0 empty=0
Time=2795000 rst_n=1 wr_en=1 rd_en=0 wr_data=ce6f717c rd_data=f130ef30 full=0 empty=0
Time=2805000 rst_n=1 wr_en=0 rd_en=0 wr_data=ce6f717c rd_data=f130ef30 full=0 empty=0
Time=2825000 rst_n=1 wr_en=1 rd_en=0 wr_data=a2210bf3 rd_data=f130ef30 full=0 empty=0
Time=2835000 rst_n=1 wr_en=0 rd_en=0 wr_data=a2210bf3 rd_data=f130ef30 full=0 empty=0
Time=2855000 rst_n=1 wr_en=0 rd_en=1 wr_data=a2210bf3 rd_data=f130ef30 full=0 empty=0
Time=2865000 rst_n=1 wr_en=0 rd_en=0 wr_data=a2210bf3 rd_data=bb9d586d full=0 empty=0
Time=2885000 rst_n=1 wr_en=0 rd_en=1 wr_data=a2210bf3 rd_data=bb9d586d full=0 empty=0
Time=2895000 rst_n=1 wr_en=0 rd_en=0 wr_data=a2210bf3 rd_data=ed0e5eaa full=0 empty=0
Time=2915000 rst_n=1 wr_en=0 rd_en=1 wr_data=a2210bf3 rd_data=ed0e5eaa full=0 empty=0
Time=2925000 rst_n=1 wr_en=0 rd_en=0 wr_data=a2210bf3 rd_data=584017f full=0 empty=0
Time=2945000 rst_n=1 wr_en=0 rd_en=1 wr_data=a2210bf3 rd_data=584017f full=0 empty=0
